mes	ese	ess	ise	iss
1.26517571483	29	12	16	22
8.73432684472	40	17	13	14
2.37420313526	15	15	3	13
4.41480809531	21	11	10	7
5.39180451748	29	5	17	3
7.74601284421	34	7	24	8
7.44313799653	6	32	9	10
7.53822076249	14	36	10	10
-4.77168365194	11	12	9	7
6.31826912933	37	5	21	3
6.68914164802	10	44	8	19
9.042362496	15	34	8	8
0.216159819031	31	13	31	7
4.47633259955	42	6	12	21
1.81166822909	16	9	14	5
2.13122243951	37	10	23	5
7.82588515847	20	11	16	7
3.15687745218	12	45	15	6
1.63171411438	13	22	3	26
8.28107678326	15	25	6	21
5.27991459408	25	12	9	8
5.86968918684	19	15	8	29
5.88454138772	61	8	5	15
3.39196865185	33	2	13	5
6.93315785356	13	45	20	3
5.7140609923	21	17	12	6
8.68006700219	22	6	11	12
-5.07584862991	14	26	16	2
7.65635738325	12	31	13	7
6.1911460366	13	34	10	11
1.92889051751	12	42	11	6
6.84435643321	13	30	12	6
8.65160590491	11	30	15	9
5.05946861795	37	12	33	3
3.54628992839	32	10	6	7
3.43576573939	42	4	22	9
3.52525171303	8	27	3	13
0.657196174418	21	3	10	5
8.23619529633	16	23	9	12
8.7720553615	8	51	7	9
8.0204138216	9	45	18	10
1.50914426913	8	47	11	4
3.7270417445	26	10	6	13
4.4451540321	22	6	14	3
8.40855966434	15	25	12	7
0.975948123541	11	41	11	10
8.84552169498	4	39	15	6
0.974315471551	22	20	18	8
6.85037934373	47	5	27	10
8.70330969345	25	21	12	13
6.56338881213	14	21	9	18
6.28578690283	17	11	23	6
3.18481605517	38	9	15	2
0.624794958394	21	31	7	15
2.59067064201	13	17	31	10
7.19194457749	4	52	31	10
7.13302453293	15	16	14	13
7.21054731298	2	52	6	12
7.27441807235	36	8	9	4
4.52281008574	11	25	7	9
9.7877184412	36	6	2	11
1.17012561648	21	28	20	3
8.94614672302	19	18	16	6
7.8193366596	24	6	0	13
5.28590243682	10	22	12	7
10.673586215	24	18	1	16
-7.16041153006	6	31	7	6
7.67243608185	11	42	5	12
4.81961072241	26	9	23	5
7.35334764059	29	12	6	14
-1.05039192115	29	9	11	11
4.9393942424	23	19	2	21
9.18382203548	23	9	5	25
3.83266557178	15	20	8	11
3.32885053548	26	14	10	10
4.63507623025	12	16	5	10
9.08182229378	15	12	10	4
9.09963786988	38	5	12	11
5.01475807214	43	7	11	6
4.30071592799	16	11	20	13
6.68311819937	9	15	10	11
7.80623986261	10	9	7	17
7.30368655166	23	25	13	8
3.16434837161	37	5	9	8
2.02512381336	22	12	3	8
3.29245570248	17	37	26	1
4.28609905923	52	2	11	16
3.52915548551	11	29	13	12
1.56973483846	22	13	36	4
-1.93317533414	23	29	6	13
4.46085153169	29	18	5	9
8.09890736531	10	12	14	9
3.96147993271	15	27	14	6
6.9624875006	15	29	2	10
4.46440493871	6	52	17	8
7.30033230134	26	3	9	5
10.4505813181	26	14	4	21
1.94165921801	12	24	5	10
7.61414909344	24	18	32	1
8.23527027296	35	10	11	8
9.09183962324	25	13	7	3
2.52177038408	19	13	19	4
8.28815005665	21	16	12	8
3.03821923841	24	20	11	3
4.9393942424	9	28	20	10
8.22967698465	16	10	3	17
6.56162449276	11	29	9	8
4.55377630972	11	6	12	14
4.9393942424	7	30	1	21
7.58657941667	25	19	15	3
6.84175342289	19	28	22	3
-0.0299919050087	7	53	24	6
3.86490760543	7	34	8	12
2.75223358537	10	57	15	1
2.18848382026	22	9	4	13
5.05587455709	26	18	17	20
6.43699063326	11	47	4	6
6.34466675049	25	26	3	27
3.54628992839	20	37	18	3
9.78584468722	15	25	2	13
4.43826171397	13	54	21	7
3.8554919683	31	12	12	3
5.05587455709	21	19	2	9
4.80082010055	5	27	5	8
4.42407331742	12	15	11	9
3.77645250756	34	6	11	12
5.85187665073	13	41	16	9
2.53021282847	18	27	14	14
3.58779124373	10	35	2	5
5.77297768463	37	6	7	4
9.16032689851	20	26	19	13
2.81295238409	17	26	8	33
4.01914392272	36	13	21	6
0.164102045262	8	22	13	8
6.82505772566	36	19	22	22
6.74457071429	17	12	15	12
1.96744145593	18	35	8	7
6.84435643321	7	47	10	10
9.20664986643	25	4	9	12
4.4065073636	23	14	36	7
2.43774525852	32	12	26	9
3.50102501099	49	2	28	10
4.68364482328	6	26	10	7
6.6463702652	25	17	12	4
8.59131647016	20	18	23	3
1.52565830537	9	48	15	0
5.40661252563	18	15	7	8
7.42910789177	19	24	8	25
-0.624128110686	11	26	15	4
5.88335486946	31	12	21	4
6.46173201612	30	11	20	14
4.90179082501	42	1	6	7
2.64303445341	56	11	14	4
6.60999469737	21	20	18	5
7.36709988568	10	32	19	12
-0.657362172294	13	23	2	14
5.94847921448	8	24	3	10
4.03533213995	16	25	5	19
5.52338537315	19	6	9	6
2.46933360354	45	5	3	5
3.45128016672	29	13	10	0
2.89958561176	21	16	9	14
5.75376833593	13	33	18	17
5.42351304305	16	13	16	6
4.58361709503	27	16	6	9
8.15952552811	6	40	15	3
7.22670800675	9	26	7	14
9.21919245875	20	23	15	18
6.37813672014	9	16	30	6
6.12664254487	41	3	17	24
1.8435893444	12	44	19	6
2.18425952781	11	36	12	17
6.91520166717	31	8	15	18
8.34017618231	6	41	8	15
5.27072043437	46	9	16	3
0.724706660293	37	7	13	5
-1.14290853574	26	7	16	7
5.90022623238	28	24	5	16
6.99122615324	21	30	6	7
4.96347175846	13	17	17	4
7.07453695009	29	21	11	12
1.09211403999	12	39	3	7
1.36207352376	10	29	12	5
4.81961072241	20	19	17	5
8.5421216405	9	30	15	13
7.79763221999	29	16	7	14
6.42357557123	8	31	17	7
-0.87446487832	6	13	15	11
-2.91704014949	26	21	17	2
1.75000709756	30	29	9	26
8.81899124056	23	18	15	14
8.39701401588	28	33	9	14
8.39491253971	27	8	10	6
6.43131703675	14	23	21	0
-2.51259011853	9	28	35	2
2.23813764343	22	8	8	8
4.36789420325	34	15	12	10
3.12243334723	17	13	4	13
0.682232943507	16	7	4	12
7.65635738325	6	52	15	9
